speciesID lakeID variable value scenario
16014 1 -0.5 0 incr20
16014 11 -0.5 0 incr20
16014 18 -0.5 0 incr20
16014 22 -0.5 0 incr20
16014 28 -0.5 0 incr20
16014 1 -1.5 0 incr20
16014 11 -1.5 0 incr20
16014 18 -1.5 0 incr20
16014 22 -1.5 2.20482952535596 incr20
16014 28 -1.5 12.3257667134315 incr20
16014 1 -3 0 incr20
16014 11 -3 0 incr20
16014 18 -3 0 incr20
16014 22 -3 0 incr20
16014 28 -3 0 incr20
16014 1 -5 0 incr20
16014 11 -5 0 incr20
16014 18 -5 0 incr20
16014 22 -5 0 incr20
16014 28 -5 0 incr20
